task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
qmsum,0.8,adakv,1,0.0,0.9192546583850931,1,0,0.4113372776459944
qmsum,0.8,adakv,2,4.137931034482759,0.9119496855345912,1,2,0.38683000676272195
qmsum,0.8,adakv,3,1.9704433497536946,0.8975903614457831,1,6,0.4058626359425205
qmsum,0.8,adakv,4,3.3707865168539324,0.7471910112359551,1,8,0.4058660441434404
qmsum,0.8,adakv,5,1.0582010582010581,0.7440476190476191,1,29,0.3810522157444663
qmsum,0.8,adakv,6,1.1976047904191618,0.9431818181818182,1,2,0.4048502514224925
qmsum,0.8,adakv,7,2.4844720496894412,0.875,1,7,0.43658662456946584
qmsum,0.8,adakv,8,3.703703703703704,0.8448275862068966,1,12,0.3712137483653938
qmsum,0.8,adakv,9,6.024096385542169,0.27741935483870966,0,15,0.3970585219273482
qmsum,0.8,adakv,10,1.01010101010101,0.8611111111111112,1,15,0.3728267998837571
qmsum,0.8,adakv,11,1.2048192771084338,0.875,1,7,0.43658662456946584
qmsum,0.8,adakv,12,5.2631578947368425,0.9389312977099237,1,3,0.4328488106202999
qmsum,0.8,adakv,13,7.291666666666667,0.7530864197530864,1,21,0.42063458682958654
qmsum,0.8,adakv,14,19.35483870967742,0.23668639053254437,0,0,0.4222557438363302
qmsum,0.8,adakv,15,15.261044176706825,0.5483870967741935,1,44,0.40927513117298964
qmsum,0.8,adakv,16,13.872832369942198,0.27741935483870966,0,15,0.3970585219273482
qmsum,0.8,adakv,17,1.8691588785046724,0.8611111111111112,1,15,0.3728267998837571
qmsum,0.8,adakv,18,4.347826086956522,0.9444444444444444,1,0,0.41452775931827596
qmsum,0.8,adakv,19,3.0000000000000004,0.875,1,7,0.43658662456946584
qmsum,0.8,adakv,20,3.2608695652173907,0.8098159509202454,1,22,0.3983753423635908
qmsum,0.8,adakv,21,2.1621621621621623,0.9117647058823529,1,3,0.42226293881863525
qmsum,0.8,adakv,22,1.197604790419162,0.7440476190476191,1,29,0.3810522157444663
qmsum,0.8,adakv,23,4.25531914893617,0.8975903614457831,1,6,0.4058626359425205
qmsum,0.8,adakv,24,15.286624203821656,0.2345679012345679,0,20,0.40884926052147746
qmsum,0.8,adakv,25,3.428571428571429,0.9333333333333333,1,2,0.41464911721819386
qmsum,0.8,adakv,26,6.0606060606060606,0.8098159509202454,1,22,0.3983753423635908
qmsum,0.8,adakv,27,0.0,0.9431818181818182,1,2,0.4048502514224925
qmsum,0.8,adakv,28,3.7209302325581395,0.7891891891891892,1,9,0.4195031376144059
qmsum,0.8,adakv,29,23.111111111111114,0.27741935483870966,0,15,0.3970585219273482
qmsum,0.8,adakv,30,0.0,0.9192546583850931,1,0,0.4113372776459944
qmsum,0.8,adakv,31,8.333333333333332,0.3496932515337423,1,1,0.426153137151654
qmsum,0.8,adakv,32,4.225352112676056,0.935064935064935,1,3,0.4173221805368938
qmsum,0.8,adakv,33,7.650273224043715,0.9389312977099237,1,3,0.4328488106202999
qmsum,0.8,adakv,34,3.896103896103896,0.8681318681318682,1,12,0.3818456786979584
qmsum,0.8,adakv,35,3.4482758620689653,0.8098159509202454,1,22,0.3983753423635908
qmsum,0.8,adakv,36,3.0769230769230775,0.8098159509202454,1,22,0.3983753423635908
qmsum,0.8,adakv,37,4.545454545454546,0.3496932515337423,1,1,0.426153137151654
qmsum,0.8,adakv,38,5.128205128205128,0.7530864197530864,1,21,0.42063458682958654
qmsum,0.8,adakv,39,4.694835680751173,0.9192546583850931,1,0,0.4113372776459944
qmsum,0.8,adakv,40,7.920792079207921,0.7471910112359551,1,8,0.4058660441434404
qmsum,0.8,adakv,41,0.0,0.9389312977099237,1,3,0.4328488106202999
qmsum,0.8,adakv,42,2.2727272727272725,0.9444444444444444,1,0,0.41452775931827596
qmsum,0.8,adakv,43,9.574468085106384,0.48554913294797686,1,23,0.4045272024240253
qmsum,0.8,adakv,44,2.877697841726619,0.8681318681318682,1,12,0.3818456786979584
qmsum,0.8,adakv,45,12.658227848101266,0.5536723163841808,1,11,0.4141578844305449
qmsum,0.8,adakv,46,8.465608465608467,0.5536723163841808,1,11,0.4141578844305449
qmsum,0.8,adakv,47,2.285714285714286,0.702247191011236,1,7,0.40744978485012956
qmsum,0.8,adakv,48,1.1627906976744187,0.9444444444444444,1,0,0.41452775931827596
qmsum,0.8,adakv,49,1.1494252873563218,0.9389312977099237,1,3,0.4328488106202999
qmsum,0.8,ours,0,7.792207792207792,0.0,0,,0.4617332275151454
qmsum,0.8,ours,1,13.471502590673575,0.03636363636363636,0,55,0.46376116246746124
qmsum,0.8,ours,2,8.510638297872342,0.05042016806722689,0,61,0.4949934780885807
qmsum,0.8,ours,3,11.347517730496454,0.024096385542168676,0,10,0.4730736290346424
qmsum,0.8,ours,4,4.166666666666667,0.032,0,70,0.45608263374017777
qmsum,0.8,ours,5,3.2432432432432425,0.007246376811594203,0,100,0.499616974477968
qmsum,0.8,ours,6,7.51173708920188,0.5084745762711864,1,27,0.5140227303138855
qmsum,0.8,ours,7,3.680981595092024,0.0875,0,36,0.5012158866702254
qmsum,0.8,ours,8,7.142857142857142,0.18446601941747573,0,34,0.481678676112722
qmsum,0.8,ours,9,10.0,0.041237113402061855,0,5,0.46509612063377775
qmsum,0.8,ours,10,8.187134502923977,0.023255813953488372,0,8,0.47128844120343644
qmsum,0.8,ours,11,5.9523809523809526,0.0875,0,36,0.5012158866702254
qmsum,0.8,ours,12,13.592233009708737,0.045454545454545456,0,18,0.4913451449633854
qmsum,0.8,ours,13,8.917197452229301,0.0,0,,0.47703920009560186
qmsum,0.8,ours,14,19.35483870967742,0.28488372093023256,0,15,0.4749740322203613
qmsum,0.8,ours,15,16.0,0.046242774566473986,0,74,0.46961842613777044
