task,budget,variant,sample_idx,score,word_rep,char_rep,collapsed
narrativeqa,0.8,plus_sink4,15,0.0,0.0,0.11956521739130435,0
narrativeqa,0.8,plus_sink4,16,0.0,0.0,0.18309859154929578,0
narrativeqa,0.8,plus_sink4,17,4.255319148936171,0.0,0.1861198738170347,0
narrativeqa,0.8,plus_sink4,18,0.0,0.029411764705882353,0.27184466019417475,0
narrativeqa,0.8,plus_sink4,19,7.547169811320755,0.0,0.22522522522522523,0
narrativeqa,0.8,plus_sink4,20,12.307692307692307,0.018867924528301886,0.21470588235294116,0
narrativeqa,0.8,plus_sink4,21,42.857142857142854,0.0,0.08333333333333333,0
narrativeqa,0.8,plus_sink4,22,0.0,0.0,0.0,0
narrativeqa,0.8,plus_sink4,23,22.22222222222222,0.0,0.034482758620689655,0
narrativeqa,0.8,plus_sink4,24,7.272727272727273,0.0,0.2644628099173554,0
narrativeqa,0.8,plus_sink4,25,13.043478260869565,0.06,0.16608996539792387,0
narrativeqa,0.8,plus_sink4,26,6.06060606060606,0.0,0.18181818181818182,0
narrativeqa,0.8,plus_sink4,27,36.36363636363636,0.0,0.0,0
narrativeqa,0.8,plus_sink4,28,13.793103448275861,0.0,0.412751677852349,0
narrativeqa,0.8,plus_sink4,29,0.0,0.0,0.04746835443037975,0
hotpotqa,0.2,baseline_nosink,0,100.0,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,1,10.526315789473683,0.0,0.1320754716981132,0
hotpotqa,0.2,baseline_nosink,2,0.0,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,3,0.0,0.0,0.1271186440677966,0
hotpotqa,0.2,baseline_nosink,4,36.36363636363637,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,5,6.666666666666667,0.11764705882352941,0.5022421524663677,0
hotpotqa,0.2,baseline_nosink,6,8.695652173913045,0.06666666666666667,0.4714828897338403,0
hotpotqa,0.2,baseline_nosink,7,28.571428571428577,0.0,0.02702702702702703,0
hotpotqa,0.2,baseline_nosink,8,17.142857142857142,0.0,0.3613861386138614,0
hotpotqa,0.2,baseline_nosink,9,10.81081081081081,0.0,0.12962962962962962,0
hotpotqa,0.2,baseline_nosink,10,10.526315789473683,0.0,0.046511627906976744,0
hotpotqa,0.2,baseline_nosink,11,0.0,0.0,0.11538461538461539,0
hotpotqa,0.2,baseline_nosink,12,15.384615384615385,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,13,43.47826086956522,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,14,5.263157894736842,0.17073170731707318,0.5154185022026432,0
hotpotqa,0.2,baseline_nosink,15,5.405405405405405,0.05,0.21296296296296297,0
hotpotqa,0.2,baseline_nosink,16,100.0,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,17,0.0,0.8,1.0,1
hotpotqa,0.2,baseline_nosink,18,14.285714285714285,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,19,17.39130434782609,0.0,0.14678899082568808,0
hotpotqa,0.2,baseline_nosink,20,0.0,0.0,0.08888888888888889,0
hotpotqa,0.2,baseline_nosink,21,0.0,0.0392156862745098,0.4246987951807229,0
hotpotqa,0.2,baseline_nosink,22,13.333333333333334,0.0,0.029850746268656716,0
hotpotqa,0.2,baseline_nosink,23,0.0,0.1951219512195122,0.6245059288537549,0
hotpotqa,0.2,baseline_nosink,24,0.0,0.39473684210526316,0.9325396825396826,1
hotpotqa,0.2,baseline_nosink,25,10.0,0.0,0.03225806451612903,0
hotpotqa,0.2,baseline_nosink,26,0.0,0.0,0.17886178861788618,0
hotpotqa,0.2,baseline_nosink,27,0.0,0.0,0.0,0
hotpotqa,0.2,baseline_nosink,28,0.0,0.44680851063829785,0.6877192982456141,1
hotpotqa,0.2,baseline_nosink,29,0.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,0,100.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,1,10.526315789473683,0.0,0.13725490196078433,0
hotpotqa,0.2,plus_sink4,2,0.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,3,9.09090909090909,0.0,0.05714285714285714,0
hotpotqa,0.2,plus_sink4,4,36.36363636363637,0.0,0.0,0
hotpotqa,0.2,plus_sink4,5,40.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,6,13.793103448275861,0.08,0.4258064516129032,0
hotpotqa,0.2,plus_sink4,7,30.769230769230766,0.0,0.1267605633802817,0
hotpotqa,0.2,plus_sink4,8,36.36363636363636,0.0,0.0,0
hotpotqa,0.2,plus_sink4,9,44.44444444444445,0.0,0.0,0
hotpotqa,0.2,plus_sink4,10,25.0,0.0,0.17857142857142858,0
hotpotqa,0.2,plus_sink4,11,0.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,12,14.814814814814813,0.0,0.0,0
hotpotqa,0.2,plus_sink4,13,37.03703703703704,0.0,0.0,0
hotpotqa,0.2,plus_sink4,14,25.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,15,40.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,16,100.0,0.0,0.0,0
hotpotqa,0.2,plus_sink4,17,22.22222222222222,0.0,0.17886178861788618,0
hotpotqa,0.2,plus_sink4,18,0.0,0.0,0.017543859649122806,0
hotpotqa,0.2,plus_sink4,19,11.76470588235294,0.0,0.024096385542168676,0
hotpotqa,0.2,plus_sink4,20,20.0,0.0,0.19672131147540983,0
hotpotqa,0.2,plus_sink4,21,0.0,0.0,0.1509433962264151,0
hotpotqa,0.2,plus_sink4,22,23.52941176470588,0.0,0.0,0
hotpotqa,0.2,plus_sink4,23,13.793103448275861,0.0,0.4342857142857143,0
hotpotqa,0.2,plus_sink4,24,0.0,0.0,0.17757009345794392,0
hotpotqa,0.2,plus_sink4,25,9.09090909090909,0.0,0.07142857142857142,0
hotpotqa,0.2,plus_sink4,26,0.0,0.0,0.2230769230769231,0
hotpotqa,0.2,plus_sink4,27,11.76470588235294,0.0,0.0,0
hotpotqa,0.2,plus_sink4,28,0.0,0.0,0.18791946308724833,0
hotpotqa,0.2,plus_sink4,29,0.0,0.0,0.18181818181818182,0
hotpotqa,0.8,baseline_nosink,0,23.076923076923077,0.0,0.0684931506849315,0
hotpotqa,0.8,baseline_nosink,1,10.526315789473683,0.0,0.13725490196078433,0
hotpotqa,0.8,baseline_nosink,2,0.0,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,3,12.5,0.0,0.043010752688172046,0
hotpotqa,0.8,baseline_nosink,4,36.36363636363637,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,5,8.695652173913045,0.041666666666666664,0.48148148148148145,0
hotpotqa,0.8,baseline_nosink,6,9.09090909090909,0.1111111111111111,0.4788732394366197,0
hotpotqa,0.8,baseline_nosink,7,46.15384615384615,0.0,0.030303030303030304,0
hotpotqa,0.8,baseline_nosink,8,32.25806451612904,0.0,0.15606936416184972,0
hotpotqa,0.8,baseline_nosink,9,40.0,0.0,0.0,0
hotpotqa,0.8,baseline_nosink,10,10.526315789473683,0.0,0.046875,0
