task,method,variant,sample_idx,score,word_rep,char_rep,collapsed
gov_report,ours,plus_sink4,1,15.056461731493101,0.013422818791946308,0.44359626802374896,0
gov_report,ours,plus_sink4,2,11.161387631975867,0.0,0.2866593164277839,0
gov_report,ours,plus_sink4,3,12.903225806451612,0.015267175572519083,0.4075173095944609,0
gov_report,ours,plus_sink4,4,14.230271668822766,0.0,0.32138979370249726,0
gov_report,ours,plus_sink4,5,11.619047619047619,0.04516129032258064,0.4483058210251955,0
gov_report,ours,plus_sink4,6,17.236255572065378,0.00684931506849315,0.44715447154471544,0
gov_report,ours,plus_sink4,7,13.422818791946309,0.006756756756756757,0.3094606542882405,0
gov_report,ours,plus_sink4,8,9.840098400984008,0.0,0.2634194831013916,0
gov_report,ours,plus_sink4,9,15.19756838905775,0.02702702702702703,0.3413654618473896,0
gov_report,ours,plus_sink4,10,13.071895424836603,0.008264462809917356,0.37362637362637363,0
gov_report,ours,plus_sink4,11,19.35483870967742,0.029850746268656716,0.32429378531073444,0
gov_report,ours,plus_sink4,12,14.689265536723168,0.007462686567164179,0.3637400228050171,0
gov_report,ours,plus_sink4,13,12.46105919003115,0.0410958904109589,0.45775301764159704,0
gov_report,ours,plus_sink4,14,12.773722627737225,0.03007518796992481,0.4321110009910803,0
gov_report,ours,plus_sink4,15,25.074626865671647,0.006896551724137931,0.3873239436619718,0
gov_report,ours,plus_sink4,16,12.35813366960908,0.0,0.3968531468531469,0
gov_report,ours,plus_sink4,17,13.717421124828533,0.014184397163120567,0.2746615087040619,0
gov_report,ours,plus_sink4,18,14.57943925233645,0.045454545454545456,0.35900783289817234,0
gov_report,ours,plus_sink4,19,17.938931297709924,0.0,0.2736842105263158,0
gov_report,ours,plus_sink4,20,17.46293245469522,0.09022556390977443,0.4643226473629783,0
gov_report,ours,plus_sink4,21,13.350785340314136,0.0,0.35513169845594916,0
gov_report,ours,plus_sink4,22,13.82488479262673,0.007518796992481203,0.3702171664943123,0
gov_report,ours,plus_sink4,23,16.639999999999997,0.0,0.32855436081242534,0
gov_report,ours,plus_sink4,24,15.846994535519126,0.006493506493506494,0.35014005602240894,0
gov_report,ours,plus_sink4,25,18.117229129662523,0.0,0.21114369501466276,0
gov_report,ours,plus_sink4,26,12.93233082706767,0.0880503144654088,0.5321691176470589,0
gov_report,ours,plus_sink4,27,15.251798561151078,0.02586206896551724,0.4282238442822384,0
gov_report,ours,plus_sink4,28,14.021164021164017,0.0,0.2919020715630885,0
gov_report,ours,plus_sink4,29,21.660649819494587,0.0,0.301792828685259,0
gov_report,adakv,baseline_nosink,0,11.042944785276074,0.8228571428571428,0.9419831223628692,1
gov_report,adakv,baseline_nosink,1,17.68368617683686,0.06918238993710692,0.5228699551569507,0
gov_report,adakv,baseline_nosink,2,19.316493313521544,0.5316455696202531,0.780564263322884,1
gov_report,adakv,baseline_nosink,3,12.274368231046932,0.7037037037037037,0.9117021276595745,1
gov_report,adakv,baseline_nosink,4,10.880829015544041,0.13043478260869565,0.5485232067510548,0
gov_report,adakv,baseline_nosink,5,12.536728697355533,0.06716417910447761,0.46853823814133594,0
gov_report,adakv,baseline_nosink,6,14.847161572052403,0.4451219512195122,0.907563025210084,1
gov_report,adakv,baseline_nosink,7,21.453287197231834,0.015384615384615385,0.367032967032967,0
gov_report,adakv,baseline_nosink,8,13.3492252681764,0.022727272727272728,0.4431137724550898,0
gov_report,adakv,baseline_nosink,9,15.030674846625766,0.7465753424657534,0.9490740740740741,1
gov_report,adakv,baseline_nosink,10,14.469453376205788,0.04225352112676056,0.5492537313432836,0
gov_report,adakv,baseline_nosink,11,21.05263157894737,0.01282051282051282,0.43208661417322836,0
gov_report,adakv,baseline_nosink,12,14.207650273224044,0.03773584905660377,0.45314009661835747,0
gov_report,adakv,baseline_nosink,13,14.756671899529042,0.020689655172413793,0.3713389121338912,0
gov_report,adakv,baseline_nosink,14,13.026819923371647,0.0,0.38443396226415094,0
gov_report,adakv,baseline_nosink,15,24.929178470254957,0.5748502994011976,0.7815356489945156,1
gov_report,adakv,baseline_nosink,16,13.144329896907218,0.0410958904109589,0.3446019629225736,0
gov_report,adakv,baseline_nosink,17,17.333333333333336,0.0064516129032258064,0.2842003853564547,0
gov_report,adakv,baseline_nosink,18,19.813084112149532,0.02608695652173913,0.43366093366093367,0
gov_report,adakv,baseline_nosink,19,20.948616600790515,0.11188811188811189,0.44379391100702575,0
gov_report,adakv,baseline_nosink,20,10.223642172523963,0.8547486033519553,0.9428284854563691,1
gov_report,adakv,baseline_nosink,21,10.796221322537113,0.024390243902439025,0.44823906083244397,0
gov_report,adakv,baseline_nosink,22,7.738095238095238,0.47368421052631576,0.6750261233019854,1
gov_report,adakv,baseline_nosink,23,17.824773413897283,0.20121951219512196,0.51953125,0
