task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
gov_report,0.8,h2o,33,16.897856242118536,0.1728395061728395,0,39,0.4063971835566944
gov_report,0.8,h2o,34,13.411078717201166,0.07792207792207792,0,22,0.4099919751291953
gov_report,0.8,h2o,35,14.006514657980457,0.031007751937984496,0,30,0.40518869184211076
gov_report,0.8,h2o,36,25.85751978891821,0.7650273224043715,1,0,0.42278513154751957
gov_report,0.8,h2o,37,17.91767554479419,0.020202020202020204,0,50,0.4110265987799971
gov_report,0.8,h2o,38,21.08345534407028,0.06832298136645963,0,25,0.40447952926010744
gov_report,0.8,h2o,39,18.317757009345794,0.05660377358490566,0,38,0.40411320454468264
gov_report,0.8,h2o,40,12.519561815336463,0.6021505376344086,1,5,0.3943402780128976
gov_report,0.8,h2o,41,19.480519480519483,0.18421052631578946,0,60,0.40986457571842966
gov_report,0.8,h2o,42,14.516129032258062,0.006369426751592357,0,131,0.4075696596361277
gov_report,0.8,h2o,43,20.13422818791946,0.35526315789473684,1,25,0.3845792742181382
gov_report,0.8,h2o,44,15.41038525963149,0.06790123456790123,0,15,0.41150469783205085
gov_report,0.8,h2o,45,16.13394216133942,0.25949367088607594,0,32,0.3942111119175587
gov_report,0.8,h2o,46,11.533052039381154,0.012345679012345678,0,36,0.40687620758385556
gov_report,0.8,h2o,47,20.19914651493599,0.18787878787878787,0,21,0.39941240352059054
gov_report,0.8,h2o,48,20.512820512820515,0.057692307692307696,0,53,0.406833466405717
gov_report,0.8,h2o,49,18.02721088435374,0.047619047619047616,0,28,0.41135897132632215
gov_report,0.8,snapkv,0,11.475409836065573,0.45901639344262296,1,30,0.7513718106011532
gov_report,0.8,snapkv,1,12.432432432432435,0.056179775280898875,0,26,0.7447990945558127
gov_report,0.8,snapkv,2,13.43065693430657,0.7625,1,7,0.760044953996403
gov_report,0.8,snapkv,3,11.904761904761903,0.8058823529411765,1,14,0.7262647448373816
gov_report,0.8,snapkv,4,14.102564102564102,0.007518796992481203,0,11,0.7515332037583115
gov_report,0.8,snapkv,5,11.560693641618496,0.44366197183098594,1,40,0.7428618254721668
gov_report,0.8,snapkv,6,21.333333333333332,0.048484848484848485,0,0,0.7370142900606681
gov_report,0.8,snapkv,7,12.892561983471074,0.7528735632183908,1,18,0.8442685562083754
gov_report,0.8,snapkv,8,18.95734597156398,0.43646408839779005,1,6,0.7592623519645104
gov_report,0.8,snapkv,9,23.318385650224215,0.4457831325301205,1,1,0.7621475409351374
gov_report,0.8,snapkv,10,15.847860538827257,0.8653846153846154,1,0,0.7764935503925122
gov_report,0.8,snapkv,11,22.089552238805965,0.1464968152866242,0,60,0.7572644803911891
gov_report,0.8,snapkv,12,16.10738255033557,0.3,0,17,0.7752671297057961
gov_report,0.8,snapkv,13,11.17824773413897,0.6428571428571429,1,14,0.7684958135768021
gov_report,0.8,snapkv,14,0.0,0.9183673469387755,1,3,0.7578426804907347
gov_report,0.8,snapkv,15,37.82234957020057,0.4124293785310734,1,34,0.7342379220341243
gov_report,0.8,snapkv,16,11.838790931989925,0.0064516129032258064,0,98,0.745090528115098
gov_report,0.8,snapkv,17,0.9933774834437087,0.9744897959183674,1,4,0.8032026049219236
gov_report,0.8,snapkv,18,22.975517890772128,0.09803921568627451,0,58,0.737289894604384
gov_report,0.8,snapkv,19,19.00990099009901,0.03496503496503497,0,6,0.7296128495127773
gov_report,0.8,snapkv,20,0.814663951120163,0.0,0,,0.7409198740010466
gov_report,0.8,snapkv,21,3.0136986301369864,0.8269230769230769,1,16,0.7848643605007829
gov_report,0.8,snapkv,22,19.202363367799112,0.21084337349397592,0,25,0.7591478552839577
gov_report,0.8,snapkv,23,0.0,0.9795918367346939,1,0,0.7402930299512138
gov_report,0.8,snapkv,24,6.571428571428571,0.8582089552238806,1,0,0.713466480152012
gov_report,0.8,snapkv,25,12.851405622489962,0.03896103896103896,0,0,0.7841439981062017
gov_report,0.8,snapkv,26,14.264036418816389,0.013245033112582781,0,1,0.767613288470012
gov_report,0.8,snapkv,27,10.848400556328233,0.6496350364963503,1,1,0.7676628215021348
gov_report,0.8,snapkv,28,10.480349344978167,0.0,0,,0.7444053131571157
gov_report,0.8,snapkv,29,1.4218009478672986,0.0,0,,0.7392486144167807
gov_report,0.8,snapkv,30,8.409986859395532,0.028169014084507043,0,0,0.752351978383715
gov_report,0.8,snapkv,31,0.0,0.90625,1,1,0.7211688666597671
gov_report,0.8,snapkv,32,10.829103214890017,0.494949494949495,1,1,0.7364899890819813
gov_report,0.8,snapkv,33,0.0,0.9791666666666666,1,0,0.7351739221462503
gov_report,0.8,snapkv,34,13.832853025936597,0.036585365853658534,0,4,0.764967709766346
gov_report,0.8,snapkv,35,13.636363636363635,0.8648648648648649,1,5,0.7714211116642918
gov_report,0.8,snapkv,36,16.02209944751381,0.04,0,1,0.7858082291506892
gov_report,0.8,snapkv,37,21.78649237472767,0.034013605442176874,0,106,0.7883879497505372
gov_report,0.8,snapkv,38,12.593703148425787,0.8901098901098901,1,6,0.7210126885787912
gov_report,0.8,snapkv,39,0.5037783375314862,0.0,0,,0.764562040230203
