task,budget,method,sample_idx,score,rep_ratio,collapsed,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.2,ours,4,1.0204081632653061,0.8957055214723927,1,9,1.765736136813581,164.0,231
qmsum,0.2,ours,5,1.5873015873015872,0.7830188679245284,1,13,1.6452821678525815,174.0,221
qmsum,0.2,ours,6,3.1746031746031735,0.9343434343434344,1,3,1.5018560486235897,134.0,198
qmsum,0.2,ours,7,4.371584699453552,0.08571428571428572,0,136,1.8047983664940486,222.0,208
qmsum,0.2,ours,8,5.88235294117647,0.0,0,,1.3823463026511655,70.0,233
qmsum,0.2,ours,9,2.2988505747126435,0.850828729281768,1,12,1.5758417275554433,100.0,207
qmsum,0.2,ours,10,4.830917874396136,0.7692307692307693,1,30,1.6066035493114037,163.0,229
qmsum,0.2,ours,11,4.25531914893617,0.08571428571428572,0,136,1.8047983664940486,222.0,208
qmsum,0.2,ours,12,11.363636363636363,0.7421052631578947,1,25,2.095152258783309,297.0,216
qmsum,0.2,ours,13,10.714285714285715,0.19230769230769232,0,13,1.914269188647006,229.0,216
qmsum,0.2,ours,14,16.74418604651163,0.5428571428571428,1,19,1.5782674667665775,115.0,234
qmsum,0.2,ours,15,11.023622047244094,0.1206896551724138,0,10,1.7450791768673146,132.0,233
qmsum,0.2,ours,16,3.314917127071823,0.850828729281768,1,12,1.5758417275554433,100.0,207
qmsum,0.2,ours,17,7.174887892376682,0.7692307692307693,1,30,1.6066035493114037,163.0,229
qmsum,0.2,ours,18,1.932367149758454,0.9080459770114943,1,8,1.5064845439080752,103.0,205
qmsum,0.2,ours,19,8.108108108108109,0.08571428571428572,0,136,1.8047983664940486,222.0,208
qmsum,0.2,ours,20,3.278688524590164,0.8765432098765432,1,6,1.6058712853124093,127.0,229
qmsum,0.2,ours,21,2.666666666666667,0.14285714285714285,0,4,2.1412150020930154,308.0,231
qmsum,0.2,ours,22,1.9230769230769231,0.7830188679245284,1,13,1.6452821678525815,174.0,221
qmsum,0.2,ours,23,10.784313725490197,0.7341040462427746,1,16,2.3089613672385783,450.0,212
qmsum,0.2,ours,24,3.65296803652968,0.8795180722891566,1,2,1.679848311853881,164.0,229
qmsum,0.2,ours,25,4.444444444444445,0.9285714285714286,1,2,1.8246261790343545,145.0,221
qmsum,0.2,ours,26,4.3478260869565215,0.8765432098765432,1,6,1.6058712853124093,127.0,229
qmsum,0.2,ours,27,2.1978021978021975,0.9343434343434344,1,3,1.5018560486235897,134.0,198
qmsum,0.2,ours,28,2.8368794326241136,0.7956989247311828,1,13,2.091522086870924,198.0,235
qmsum,0.2,ours,29,3.4334763948497855,0.850828729281768,1,12,1.5758417275554433,100.0,207
qmsum,0.2,ours,30,0.0,0.9310344827586207,1,4,1.5471744224713022,105.0,215
qmsum,0.2,ours,31,1.0101010101010102,0.9395604395604396,1,0,2.3651760403354776,366.0,228
qmsum,0.2,ours,32,6.741573033707865,0.4431818181818182,1,19,1.8228755498774318,210.0,246
qmsum,0.2,ours,33,11.673151750972762,0.7421052631578947,1,25,2.095152258783309,297.0,216
qmsum,0.2,ours,34,2.051282051282051,0.9325842696629213,1,3,1.5809244712310915,130.0,213
qmsum,0.2,ours,35,3.4682080924855496,0.8765432098765432,1,6,1.6058712853124093,127.0,229
qmsum,0.2,ours,36,2.0618556701030926,0.8765432098765432,1,6,1.6058712853124093,127.0,229
qmsum,0.2,ours,37,3.8834951456310685,0.9395604395604396,1,0,2.3651760403354776,366.0,228
qmsum,0.2,ours,38,11.695906432748536,0.19230769230769232,0,13,1.914269188647006,229.0,216
qmsum,0.2,ours,39,5.02092050209205,0.9310344827586207,1,4,1.5471744224713022,105.0,215
qmsum,0.2,ours,40,8.18181818181818,0.8957055214723927,1,9,1.765736136813581,164.0,231
qmsum,0.2,ours,41,9.01639344262295,0.7421052631578947,1,25,2.095152258783309,297.0,216
qmsum,0.2,ours,42,0.0,0.9080459770114943,1,8,1.5064845439080752,103.0,205
qmsum,0.2,ours,43,0.0,0.8902439024390244,1,7,2.265675470821365,231.0,215
qmsum,0.2,ours,44,1.1111111111111114,0.9325842696629213,1,3,1.5809244712310915,130.0,213
qmsum,0.2,ours,45,6.956521739130435,0.8602150537634409,1,10,1.8792490431824886,146.0,220
qmsum,0.2,ours,46,3.296703296703296,0.8602150537634409,1,10,1.8792490431824886,146.0,220
qmsum,0.2,ours,47,2.0618556701030926,0.7513513513513513,1,25,1.7350057577645823,155.0,230
qmsum,0.2,ours,48,2.0512820512820515,0.9080459770114943,1,8,1.5064845439080752,103.0,205
qmsum,0.2,ours,49,5.645161290322581,0.7421052631578947,1,25,2.095152258783309,297.0,216
gov_report,0.2,streaming,0,16.25,0.037267080745341616,0,81,30.705835783446418,5891.0,500
gov_report,0.2,streaming,1,18.272841051314142,0.01948051948051948,0,29,32.14965321524874,6457.0,500
gov_report,0.2,streaming,2,10.447761194029848,0.013793103448275862,0,48,45.26190700601117,12801.0,500
gov_report,0.2,streaming,3,13.26352530541012,0.006493506493506494,0,13,45.26190700601117,12801.0,500
gov_report,0.2,streaming,4,12.787723785166241,0.015267175572519083,0,18,40.965155747722335,10486.0,500
gov_report,0.2,streaming,5,12.44019138755981,0.03184713375796178,0,35,45.01448902091078,12662.0,500
gov_report,0.2,streaming,6,16.7427701674277,0.0,0,,39.74639820465793,9873.0,500
gov_report,0.2,streaming,7,13.993174061433447,0.021897810218978103,0,32,45.26190700601117,12801.0,500
gov_report,0.2,streaming,8,9.394313967861558,0.006993006993006993,0,66,38.85563137831465,9433.0,500
gov_report,0.2,streaming,9,14.135338345864662,0.033112582781456956,0,16,45.26190700601117,12801.0,500
gov_report,0.2,streaming,10,11.80327868852459,0.0,0,,32.82341022197119,6733.0,500
gov_report,0.2,streaming,11,14.26448736998514,0.012987012987012988,0,61,28.879892742362987,5211.0,500
gov_report,0.2,streaming,12,11.436541143654114,0.02054794520547945,0,65,31.304445454251436,6123.0,500
gov_report,0.2,streaming,13,13.65079365079365,0.02962962962962963,0,0,41.14442796526698,10578.0,500
gov_report,0.2,streaming,14,12.681159420289854,0.007246376811594203,0,48,31.781255327700762,6311.0,500
gov_report,0.2,streaming,15,18.120805369127517,0.1282051282051282,0,2,21.348175449671558,2846.0,500
gov_report,0.2,streaming,16,9.06801007556675,0.0,0,,19.233320586085526,2309.0,500
gov_report,0.2,streaming,17,11.78082191780822,0.035211267605633804,0,7,20.446239425360044,2611.0,500
gov_report,0.2,streaming,18,13.80597014925373,0.017699115044247787,0,16,27.550685845714757,4741.0,500
gov_report,0.2,streaming,19,16.184971098265898,0.1411042944785276,0,33,34.478053066436004,7429.0,500
gov_report,0.2,streaming,20,13.65079365079365,0.012658227848101266,0,25,42.91759613062896,11509.0,500
gov_report,0.2,streaming,21,12.057667103538662,0.01282051282051282,0,65,39.8717936364116,9933.0,500
gov_report,0.2,streaming,22,14.947683109118087,0.006622516556291391,0,101,39.75927525744132,9877.0,500
gov_report,0.2,streaming,23,17.257318952234208,0.013422818791946308,0,22,24.752222537172358,3828.0,500
gov_report,0.2,streaming,24,14.088397790055248,0.1917808219178082,0,50,29.08966118789608,5287.0,500
gov_report,0.2,streaming,25,13.693693693693692,0.013793103448275862,0,69,36.4452497622976,8301.0,500
gov_report,0.2,streaming,26,15.08295625942685,0.006211180124223602,0,28,41.67147904459028,10852.0,500
gov_report,0.2,streaming,27,12.859097127222983,0.012987012987012988,0,67,39.58424070399532,9792.0,500
gov_report,0.2,streaming,28,12.15323645970938,0.0,0,,35.1199137228303,7707.0,500
gov_report,0.2,streaming,29,14.207650273224044,0.0,0,,28.35207896301863,5021.0,500
gov_report,0.2,streaming,30,9.043927648578812,0.0,0,,44.98675724476977,12647.0,500
gov_report,0.2,streaming,31,9.056603773584907,0.0457516339869281,0,31,28.86659656226277,5205.0,500
gov_report,0.2,streaming,32,10.281923714759536,0.00847457627118644,0,44,32.67684505407648,6673.0,500
gov_report,0.2,streaming,33,13.554987212276215,0.039473684210526314,0,21,32.239112085985106,6493.0,500
gov_report,0.2,streaming,34,14.771048744460858,0.0273972602739726,0,2,44.26827302616516,12245.0,500
gov_report,0.2,streaming,35,13.72854914196568,0.006329113924050633,0,9,42.25636133250118,11157.0,500
gov_report,0.2,streaming,36,18.32460732984293,0.011560693641618497,0,29,27.329109196293707,4665.0,500
gov_report,0.2,streaming,37,17.672413793103445,0.013245033112582781,0,46,36.08346119389447,8137.0,500
gov_report,0.2,streaming,38,14.746543778801843,0.030534351145038167,0,14,45.26190700601117,12801.0,500
gov_report,0.2,streaming,39,13.83399209486166,0.015748031496062992,0,21,18.59722667965162,2161.0,500
gov_report,0.2,streaming,40,11.970802919708028,0.0,0,,42.29648122962243,11180.0,500
gov_report,0.2,streaming,41,13.063063063063062,0.023255813953488372,0,73,34.4576309475111,7419.0,500
gov_report,0.2,streaming,42,13.079019073569484,0.006802721088435374,0,8,33.468316516673795,6999.0,500
gov_report,0.2,streaming,43,15.54054054054054,0.015151515151515152,0,59,45.26190700601117,12801.0,500
gov_report,0.2,streaming,44,16.551724137931036,0.00684931506849315,0,15,32.86238250174042,6749.0,500
gov_report,0.2,streaming,45,11.464968152866243,0.016129032258064516,0,24,45.26190700601117,12801.0,500
gov_report,0.2,streaming,46,12.622720897615707,0.0,0,,28.855508365385532,5201.0,500
gov_report,0.2,streaming,47,23.133235724743773,0.09701492537313433,0,13,23.008880191850626,3307.0,500
gov_report,0.2,streaming,48,14.711033274956216,0.021739130434782608,0,27,33.55235038381939,7033.0,500
gov_report,0.2,streaming,49,8.073394495412845,0.0,0,,29.146805186480965,5309.0,500
gov_report,0.2,h2o,0,11.075949367088606,0.7978723404255319,1,1,0.8973864304966594,46.0,116
gov_report,0.2,h2o,1,2.083333333333333,0.5592105263157895,1,8,0.913572199276915,44.0,127
gov_report,0.2,h2o,2,9.927007299270073,0.9230769230769231,1,6,0.982351892929195,75.0,127
gov_report,0.2,h2o,3,3.9215686274509802,0.9191919191919192,1,3,0.9809248456758913,44.0,129
gov_report,0.2,h2o,4,0.3003003003003003,0.0,0,,0.839652352130362,27.0,114
gov_report,0.2,h2o,5,2.5500910746812386,0.979381443298969,1,3,0.8892804711578911,46.0,119
gov_report,0.2,h2o,6,13.946587537091986,0.8888888888888888,1,0,0.8370814818629821,36.0,131
gov_report,0.2,h2o,7,0.0,0.98989898989899,1,1,0.9373693296359908,43.0,110
gov_report,0.2,h2o,8,11.166253101736972,0.54375,1,40,0.8688825781879468,32.0,110
gov_report,0.2,h2o,9,14.177978883861236,0.8579234972677595,1,11,0.8348190180876975,33.0,113
gov_report,0.2,h2o,10,9.30232558139535,0.8279569892473119,1,10,0.7993365739222629,33.0,127
gov_report,0.2,h2o,11,4.979253112033195,0.8928571428571429,1,20,0.9116062388344853,36.0,118
gov_report,0.2,h2o,12,0.2557544757033248,0.98989898989899,1,1,0.9484759605142358,29.0,111
gov_report,0.2,h2o,13,20.09273570324575,0.9470588235294117,1,3,0.9626381421612542,44.0,78
gov_report,0.2,h2o,14,12.451361867704279,0.7216494845360825,1,10,0.901479835520193,36.0,118
gov_report,0.2,h2o,15,13.571428571428573,0.8936170212765957,1,0,0.9130792522191664,27.0,114
gov_report,0.2,h2o,16,3.4993270524899063,0.924812030075188,1,0,0.8885299512716311,29.0,118
gov_report,0.2,h2o,17,3.7410071942446046,0.924812030075188,1,0,0.9711552697204358,37.0,108
gov_report,0.2,h2o,18,9.62962962962963,0.9393939393939394,1,3,1.0006407418058687,37.0,99
gov_report,0.2,h2o,19,4.127579737335835,0.9336734693877551,1,8,1.0303121778916207,40.0,121
gov_report,0.2,h2o,20,13.945578231292515,0.9285714285714286,1,1,0.8773158132083433,47.0,110
gov_report,0.2,h2o,21,1.7341040462427744,0.9538461538461539,1,2,0.8849037340795087,36.0,140
gov_report,0.2,h2o,22,0.0,0.0,0,,0.9693892533665219,40.0,115
gov_report,0.2,h2o,23,14.37308868501529,0.6534090909090909,1,38,0.8622935707779618,30.0,109
