task,budget,method,sample_idx,score,word_rep,char_rep,collapsed_old,collapsed_new,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.8,snapkv,39,9.090909090909092,0.574585635359116,0.8169014084507042,1,1,13,0.7323945871743298,14.0,412
qmsum,0.8,snapkv,40,0.0,0.9647058823529412,1.0,1,1,0,0.7038501934910298,21.0,405
qmsum,0.8,snapkv,41,9.205020920502092,0.5026455026455027,0.838599487617421,1,1,20,0.7739778941817502,14.0,393
qmsum,0.8,snapkv,42,6.315789473684211,0.0,0.45135135135135135,0,0,,0.708152733282113,15.0,397
qmsum,0.8,snapkv,43,0.0,0.9647058823529412,1.0,1,1,0,0.6898437047704423,15.0,394
qmsum,0.8,snapkv,44,1.4184397163120568,0.8985507246376812,1.0,1,1,0,0.7432664118603399,16.0,392
qmsum,0.8,snapkv,45,0.9345794392523363,0.9595375722543352,1.0,1,1,0,0.669047533430744,14.0,403
qmsum,0.8,snapkv,46,0.0,0.9595375722543352,1.0,1,1,0,0.669047533430744,14.0,403
qmsum,0.8,snapkv,47,1.2658227848101267,0.8647058823529412,0.9989583333333333,1,1,6,0.6905774754158721,13.0,408
qmsum,0.8,snapkv,48,6.593406593406594,0.0,0.45135135135135135,0,0,,0.708152733282113,15.0,397
qmsum,0.8,snapkv,49,9.876543209876543,0.5026455026455027,0.838599487617421,1,1,20,0.7739778941817502,14.0,393
qmsum,0.8,pyramidkv,0,6.329113924050632,0.702247191011236,0.9301270417422868,1,1,7,0.40744978485012956,5.0,404
qmsum,0.8,pyramidkv,1,0.0,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,407
qmsum,0.8,pyramidkv,2,4.137931034482759,0.9119496855345912,0.9883474576271186,1,1,2,0.38683000676272195,5.0,411
qmsum,0.8,pyramidkv,3,1.9704433497536946,0.8975903614457831,1.0,1,1,6,0.4058626359425205,5.0,397
qmsum,0.8,pyramidkv,4,3.3707865168539324,0.7471910112359551,0.9242579324462641,1,1,8,0.4058660441434404,6.0,393
qmsum,0.8,pyramidkv,5,1.0582010582010581,0.7440476190476191,0.8664085188770572,1,1,29,0.3810522157444663,5.0,417
qmsum,0.8,pyramidkv,6,1.1976047904191618,0.9431818181818182,0.9887218045112782,1,1,2,0.4048502514224925,5.0,395
